ID,Nombre,Tipo,Marca,Precio,Descuento (%),Precio final,Stock,Descripcion corta,category_id
142,Candado Modelo 277,Candado,Specialized,976.4,0,976.4,48,Candado de alta calidad marca Specialized. Ideal para ciclistas exigentes.,3
143,Electrica Modelo 164,Electrica,Scott,2212.32,10,1991.09,28,Electrica de alta calidad marca Scott. Ideal para ciclistas exigentes.,1
144,Montana Modelo 119,Montana,Giant,863.58,15,734.04,26,Montana de alta calidad marca Giant. Ideal para ciclistas exigentes.,4
145,Carretera Modelo 962,Carretera,Bontrager,1283.93,0,1283.93,31,Carretera de alta calidad marca Bontrager. Ideal para ciclistas exigentes.,4
146,Montana Modelo 963,Montana,Giant,1547.27,10,1392.54,7,Montana de alta calidad marca Giant. Ideal para ciclistas exigentes.,2
147,Luz Modelo 428,Luz,Specialized,1153.88,15,980.8,44,Luz de alta calidad marca Specialized. Ideal para ciclistas exigentes.,4
148,Timbre Modelo 944,Timbre,Giant,2336.22,15,1985.79,4,Timbre de alta calidad marca Giant. Ideal para ciclistas exigentes.,4
149,Paseo Modelo 376,Paseo,SRAM,1775.58,15,1509.24,14,Paseo de alta calidad marca SRAM. Ideal para ciclistas exigentes.,4
150,Cassette Modelo 616,Cassette,RockShox,2523.38,5,2397.21,4,Cassette de alta calidad marca RockShox. Ideal para ciclistas exigentes.,1
151,Carretera Modelo 219,Carretera,Scott,2236.1,15,1900.68,13,Carretera de alta calidad marca Scott. Ideal para ciclistas exigentes.,1
152,Cassette Modelo 285,Cassette,Giant,481.69,15,409.44,10,Cassette de alta calidad marca Giant. Ideal para ciclistas exigentes.,1
153,Luz Modelo 400,Luz,RockShox,2181.43,20,1745.14,39,Luz de alta calidad marca RockShox. Ideal para ciclistas exigentes.,2
154,Candado Modelo 368,Candado,RockShox,486.08,20,388.86,1,Candado de alta calidad marca RockShox. Ideal para ciclistas exigentes.,2
155,Timbre Modelo 150,Timbre,Shimano,2282.81,0,2282.81,44,Timbre de alta calidad marca Shimano. Ideal para ciclistas exigentes.,4
156,Carretera Modelo 186,Carretera,Giant,1447.39,20,1157.91,34,Carretera de alta calidad marca Giant. Ideal para ciclistas exigentes.,1
157,Cadena Modelo 697,Cadena,Scott,2519.73,5,2393.74,30,Cadena de alta calidad marca Scott. Ideal para ciclistas exigentes.,3
158,Casco Modelo 778,Casco,Shimano,2417.99,5,2297.09,49,Casco de alta calidad marca Shimano. Ideal para ciclistas exigentes.,1
159,Infantil Modelo 398,Infantil,SRAM,2315.88,20,1852.7,47,Infantil de alta calidad marca SRAM. Ideal para ciclistas exigentes.,4
160,Carretera Modelo 767,Carretera,Giant,1895.68,10,1706.11,49,Carretera de alta calidad marca Giant. Ideal para ciclistas exigentes.,4
161,Guantes Modelo 330,Guantes,Scott,341.45,5,324.38,45,Guantes de alta calidad marca Scott. Ideal para ciclistas exigentes.,2
162,Timbre Modelo 431,Timbre,Giant,959.22,5,911.26,28,Timbre de alta calidad marca Giant. Ideal para ciclistas exigentes.,4
163,Montana Modelo 675,Montana,Shimano,1547.75,20,1238.2,2,Montana de alta calidad marca Shimano. Ideal para ciclistas exigentes.,1
164,Montana Modelo 826,Montana,Giant,2185.86,0,2185.86,12,Montana de alta calidad marca Giant. Ideal para ciclistas exigentes.,2
165,Frenos Modelo 611,Frenos,Specialized,1607.98,5,1527.58,1,Frenos de alta calidad marca Specialized. Ideal para ciclistas exigentes.,4
166,Guantes Modelo 856,Guantes,Scott,2562.71,10,2306.44,15,Guantes de alta calidad marca Scott. Ideal para ciclistas exigentes.,4
167,Neumatico Modelo 179,Neumatico,Giant,1665.55,10,1498.99,9,Neumatico de alta calidad marca Giant. Ideal para ciclistas exigentes.,4
168,Carretera Modelo 601,Carretera,Bontrager,1872.99,15,1592.04,21,Carretera de alta calidad marca Bontrager. Ideal para ciclistas exigentes.,1
169,Candado Modelo 516,Candado,Specialized,1969.83,20,1575.86,48,Candado de alta calidad marca Specialized. Ideal para ciclistas exigentes.,1
170,Paseo Modelo 264,Paseo,SRAM,2679.8,20,2143.84,49,Paseo de alta calidad marca SRAM. Ideal para ciclistas exigentes.,4
171,Carretera Modelo 744,Carretera,Giant,447.39,20,357.91,9,Carretera de alta calidad marca Giant. Ideal para ciclistas exigentes.,4
172,Neumatico Modelo 403,Neumatico,Giant,2095.83,15,1781.46,22,Neumatico de alta calidad marca Giant. Ideal para ciclistas exigentes.,3
173,Neumatico Modelo 468,Neumatico,SRAM,2146.81,15,1824.79,37,Neumatico de alta calidad marca SRAM. Ideal para ciclistas exigentes.,4
174,Cadena Modelo 988,Cadena,Scott,1615.56,5,1534.78,26,Cadena de alta calidad marca Scott. Ideal para ciclistas exigentes.,2
175,Carretera Modelo 699,Carretera,Bontrager,2852.84,15,2424.91,28,Carretera de alta calidad marca Bontrager. Ideal para ciclistas exigentes.,4
176,Neumatico Modelo 647,Neumatico,SRAM,2144.7,10,1930.23,12,Neumatico de alta calidad marca SRAM. Ideal para ciclistas exigentes.,4
177,Electrica Modelo 739,Electrica,Giant,1631.41,5,1549.84,9,Electrica de alta calidad marca Giant. Ideal para ciclistas exigentes.,1
178,Luz Modelo 280,Luz,RockShox,1040.09,0,1040.09,50,Luz de alta calidad marca RockShox. Ideal para ciclistas exigentes.,2
179,Guantes Modelo 576,Guantes,Scott,2443.84,5,2321.65,14,Guantes de alta calidad marca Scott. Ideal para ciclistas exigentes.,3
180,Cadena Modelo 542,Cadena,Scott,350.76,15,298.15,28,Cadena de alta calidad marca Scott. Ideal para ciclistas exigentes.,3
181,Carretera Modelo 302,Carretera,Bontrager,1763.59,5,1675.41,35,Carretera de alta calidad marca Bontrager. Ideal para ciclistas exigentes.,2
182,Carretera Modelo 256,Carretera,Bontrager,2016.35,20,1613.08,43,Carretera de alta calidad marca Bontrager. Ideal para ciclistas exigentes.,1
183,Montana Modelo 146,Montana,Giant,1221.09,0,1221.09,39,Montana de alta calidad marca Giant. Ideal para ciclistas exigentes.,4
184,Carretera Modelo 621,Carretera,Bontrager,1270.13,20,1016.1,35,Carretera de alta calidad marca Bontrager. Ideal para ciclistas exigentes.,3
185,Carretera Modelo 729,Carretera,Specialized,1433.09,5,1361.44,42,Carretera de alta calidad marca Specialized. Ideal para ciclistas exigentes.,2
186,Cambio Modelo 973,Cambio,Specialized,1323.7,5,1257.51,42,Cambio de alta calidad marca Specialized. Ideal para ciclistas exigentes.,3
187,Timbre Modelo 879,Timbre,Giant,2709.95,15,2303.46,16,Timbre de alta calidad marca Giant. Ideal para ciclistas exigentes.,4
188,Carretera Modelo 448,Carretera,Specialized,297.38,0,297.38,9,Carretera de alta calidad marca Specialized. Ideal para ciclistas exigentes.,1
189,Paseo Modelo 318,Paseo,SRAM,1963.04,20,1570.43,6,Paseo de alta calidad marca SRAM. Ideal para ciclistas exigentes.,1
190,Candado Modelo 192,Candado,Giant,1506.42,5,1431.1,44,Candado de alta calidad marca Giant. Ideal para ciclistas exigentes.,3
191,Carretera Modelo 251,Carretera,Specialized,1569.99,10,1412.99,31,Carretera de alta calidad marca Specialized. Ideal para ciclistas exigentes.,1
192,Frenos Modelo 454,Frenos,Specialized,2043.58,20,1634.86,48,Frenos de alta calidad marca Specialized. Ideal para ciclistas exigentes.,1
193,Frenos Modelo 535,Frenos,Specialized,1397.58,10,1257.82,43,Frenos de alta calidad marca Specialized. Ideal para ciclistas exigentes.,2
194,Timbre Modelo 580,Timbre,Giant,1208.29,10,1087.46,11,Timbre de alta calidad marca Giant. Ideal para ciclistas exigentes.,4
195,Candado Modelo 360,Candado,RockShox,2541.78,5,2414.69,12,Candado de alta calidad marca RockShox. Ideal para ciclistas exigentes.,4
196,Carretera Modelo 591,Carretera,Bontrager,1117.26,0,1117.26,40,Carretera de alta calidad marca Bontrager. Ideal para ciclistas exigentes.,2
197,Candado Modelo 102,Candado,RockShox,2912.7,0,2912.7,20,Candado de alta calidad marca RockShox. Ideal para ciclistas exigentes.,2
198,Cassette Modelo 770,Cassette,RockShox,2464.6,0,2464.6,11,Cassette de alta calidad marca RockShox. Ideal para ciclistas exigentes.,2
199,Infantil Modelo 624,Infantil,RockShox,2942.43,5,2795.31,48,Infantil de alta calidad marca RockShox. Ideal para ciclistas exigentes.,4
200,Electrica Modelo 827,Electrica,Scott,2708.73,15,2302.42,9,Electrica de alta calidad marca Scott. Ideal para ciclistas exigentes.,3
201,Electrica Modelo 576,Electrica,Giant,1131.01,0,1131.01,39,Electrica de alta calidad marca Giant. Ideal para ciclistas exigentes.,1
202,Carretera Modelo 702,Carretera,Scott,497.15,15,422.58,47,Carretera de alta calidad marca Scott. Ideal para ciclistas exigentes.,2
203,Carretera Modelo 449,Carretera,Specialized,2194.51,5,2084.78,10,Carretera de alta calidad marca Specialized. Ideal para ciclistas exigentes.,4
204,Carretera Modelo 284,Carretera,Bontrager,293.77,15,249.7,29,Carretera de alta calidad marca Bontrager. Ideal para ciclistas exigentes.,3
205,Neumatico Modelo 900,Neumatico,Scott,1580.06,20,1264.05,26,Neumatico de alta calidad marca Scott. Ideal para ciclistas exigentes.,4
206,Candado Modelo 927,Candado,RockShox,1171.13,20,936.9,44,Candado de alta calidad marca RockShox. Ideal para ciclistas exigentes.,2
207,Cadena Modelo 288,Cadena,Scott,317.03,0,317.03,5,Cadena de alta calidad marca Scott. Ideal para ciclistas exigentes.,4
208,Timbre Modelo 100,Timbre,Bontrager,697.32,0,697.32,24,Timbre de alta calidad marca Bontrager. Ideal para ciclistas exigentes.,3
209,Guantes Modelo 819,Guantes,Scott,1474.41,10,1326.97,41,Guantes de alta calidad marca Scott. Ideal para ciclistas exigentes.,1
210,Luz Modelo 417,Luz,RockShox,972.71,10,875.44,33,Luz de alta calidad marca RockShox. Ideal para ciclistas exigentes.,1
211,Luz Modelo 270,Luz,Shimano,619.12,10,557.21,44,Luz de alta calidad marca Shimano. Ideal para ciclistas exigentes.,3
212,Electrica Modelo 457,Electrica,Scott,400.8,20,320.64,32,Electrica de alta calidad marca Scott. Ideal para ciclistas exigentes.,2
213,Candado Modelo 781,Candado,Specialized,1987.43,10,1788.69,25,Candado de alta calidad marca Specialized. Ideal para ciclistas exigentes.,4
214,Cambio Modelo 429,Cambio,Trek,219.0,20,175.2,44,Cambio de alta calidad marca Trek. Ideal para ciclistas exigentes.,2
215,Neumatico Modelo 318,Neumatico,Giant,2841.75,20,2273.4,42,Neumatico de alta calidad marca Giant. Ideal para ciclistas exigentes.,1
216,Paseo Modelo 426,Paseo,SRAM,1068.22,20,854.58,2,Paseo de alta calidad marca SRAM. Ideal para ciclistas exigentes.,3
217,Cadena Modelo 636,Cadena,Trek,2561.3,15,2177.11,22,Cadena de alta calidad marca Trek. Ideal para ciclistas exigentes.,3
218,Montana Modelo 848,Montana,Giant,616.39,20,493.11,43,Montana de alta calidad marca Giant. Ideal para ciclistas exigentes.,2
219,Luz Modelo 803,Luz,RockShox,1293.35,10,1164.01,6,Luz de alta calidad marca RockShox. Ideal para ciclistas exigentes.,2
220,Paseo Modelo 763,Paseo,SRAM,2954.45,15,2511.28,37,Paseo de alta calidad marca SRAM. Ideal para ciclistas exigentes.,3
221,Carretera Modelo 513,Carretera,Specialized,2715.72,0,2715.72,45,Carretera de alta calidad marca Specialized. Ideal para ciclistas exigentes.,2
222,Cadena Modelo 129,Cadena,Scott,2286.63,15,1943.64,32,Cadena de alta calidad marca Scott. Ideal para ciclistas exigentes.,2
223,Casco Modelo 114,Casco,Specialized,2456.88,0,2456.88,19,Casco de alta calidad marca Specialized. Ideal para ciclistas exigentes.,1
224,Casco Modelo 905,Casco,Shimano,2967.98,20,2374.38,28,Casco de alta calidad marca Shimano. Ideal para ciclistas exigentes.,4
225,Neumatico Modelo 173,Neumatico,SRAM,2715.95,5,2580.15,2,Neumatico de alta calidad marca SRAM. Ideal para ciclistas exigentes.,2
226,Cassette Modelo 117,Cassette,Giant,611.25,15,519.56,4,Cassette de alta calidad marca Giant. Ideal para ciclistas exigentes.,4
227,Guantes Modelo 178,Guantes,Giant,2434.18,0,2434.18,28,Guantes de alta calidad marca Giant. Ideal para ciclistas exigentes.,3
228,Carretera Modelo 216,Carretera,Specialized,2659.46,10,2393.51,15,Carretera de alta calidad marca Specialized. Ideal para ciclistas exigentes.,2
229,Cassette Modelo 559,Cassette,SRAM,2313.03,5,2197.38,27,Cassette de alta calidad marca SRAM. Ideal para ciclistas exigentes.,1
230,Carretera Modelo 898,Carretera,Bontrager,1215.11,0,1215.11,29,Carretera de alta calidad marca Bontrager. Ideal para ciclistas exigentes.,3
231,Candado Modelo 574,Candado,Specialized,1781.86,10,1603.67,28,Candado de alta calidad marca Specialized. Ideal para ciclistas exigentes.,2
232,Luz Modelo 515,Luz,Shimano,2019.76,10,1817.78,28,Luz de alta calidad marca Shimano. Ideal para ciclistas exigentes.,3
233,Luz Modelo 913,Luz,Specialized,123.89,15,105.31,2,Luz de alta calidad marca Specialized. Ideal para ciclistas exigentes.,2
234,Cassette Modelo 681,Cassette,RockShox,2097.59,5,1992.71,38,Cassette de alta calidad marca RockShox. Ideal para ciclistas exigentes.,2
235,Electrica Modelo 373,Electrica,Giant,747.37,20,597.9,30,Electrica de alta calidad marca Giant. Ideal para ciclistas exigentes.,3
236,Casco Modelo 564,Casco,Specialized,2250.15,20,1800.12,38,Casco de alta calidad marca Specialized. Ideal para ciclistas exigentes.,3
237,Luz Modelo 714,Luz,RockShox,2606.78,15,2215.76,3,Luz de alta calidad marca RockShox. Ideal para ciclistas exigentes.,3
238,Casco Modelo 592,Casco,Trek,2279.46,20,1823.57,44,Casco de alta calidad marca Trek. Ideal para ciclistas exigentes.,3
239,Cadena Modelo 248,Cadena,Scott,244.47,20,195.58,40,Cadena de alta calidad marca Scott. Ideal para ciclistas exigentes.,1
240,Carretera Modelo 152,Carretera,Specialized,520.39,5,494.37,24,Carretera de alta calidad marca Specialized. Ideal para ciclistas exigentes.,3
241,Cadena Modelo 798,Cadena,Scott,1665.27,15,1415.48,48,Cadena de alta calidad marca Scott. Ideal para ciclistas exigentes.,3
242,Luz Modelo 186,Luz,RockShox,157.81,15,134.14,34,Luz de alta calidad marca RockShox. Ideal para ciclistas exigentes.,4
243,Casco Modelo 486,Casco,SRAM,887.63,15,754.49,6,Casco de alta calidad marca SRAM. Ideal para ciclistas exigentes.,1
244,Neumatico Modelo 170,Neumatico,Giant,1579.9,5,1500.9,35,Neumatico de alta calidad marca Giant. Ideal para ciclistas exigentes.,1
245,Cadena Modelo 474,Cadena,Trek,656.81,20,525.45,47,Cadena de alta calidad marca Trek. Ideal para ciclistas exigentes.,4
246,Carretera Modelo 813,Carretera,Shimano,2226.46,5,2115.14,35,Carretera de alta calidad marca Shimano. Ideal para ciclistas exigentes.,3
247,Luz Modelo 383,Luz,RockShox,1828.42,0,1828.42,39,Luz de alta calidad marca RockShox. Ideal para ciclistas exigentes.,2
248,Luz Modelo 123,Luz,RockShox,751.01,20,600.81,9,Luz de alta calidad marca RockShox. Ideal para ciclistas exigentes.,2
249,Carretera Modelo 357,Carretera,Bontrager,1130.91,0,1130.91,39,Carretera de alta calidad marca Bontrager. Ideal para ciclistas exigentes.,2
250,Montana Modelo 462,Montana,Giant,1193.15,15,1014.18,3,Montana de alta calidad marca Giant. Ideal para ciclistas exigentes.,2
251,Cadena Modelo 968,Cadena,Scott,2941.74,10,2647.57,13,Cadena de alta calidad marca Scott. Ideal para ciclistas exigentes.,2
252,Neumatico Modelo 998,Neumatico,Bontrager,623.13,20,498.5,26,Neumatico de alta calidad marca Bontrager. Ideal para ciclistas exigentes.,2
253,Electrica Modelo 117,Electrica,Scott,2234.65,15,1899.45,19,Electrica de alta calidad marca Scott. Ideal para ciclistas exigentes.,4
254,Frenos Modelo 561,Frenos,Specialized,2764.54,20,2211.63,34,Frenos de alta calidad marca Specialized. Ideal para ciclistas exigentes.,4
255,Infantil Modelo 492,Infantil,RockShox,2313.34,0,2313.34,35,Infantil de alta calidad marca RockShox. Ideal para ciclistas exigentes.,4
256,Cassette Modelo 233,Cassette,Giant,1252.1,15,1064.28,24,Cassette de alta calidad marca Giant. Ideal para ciclistas exigentes.,3
257,Neumatico Modelo 837,Neumatico,Bontrager,1786.86,5,1697.52,18,Neumatico de alta calidad marca Bontrager. Ideal para ciclistas exigentes.,2
258,Timbre Modelo 748,Timbre,Shimano,727.93,20,582.34,32,Timbre de alta calidad marca Shimano. Ideal para ciclistas exigentes.,3
259,Frenos Modelo 871,Frenos,Specialized,405.66,0,405.66,34,Frenos de alta calidad marca Specialized. Ideal para ciclistas exigentes.,1
260,Frenos Modelo 148,Frenos,Specialized,504.13,20,403.3,16,Frenos de alta calidad marca Specialized. Ideal para ciclistas exigentes.,3
261,Electrica Modelo 872,Electrica,Giant,1983.69,0,1983.69,24,Electrica de alta calidad marca Giant. Ideal para ciclistas exigentes.,4
262,Casco Modelo 503,Casco,Shimano,243.67,10,219.3,24,Casco de alta calidad marca Shimano. Ideal para ciclistas exigentes.,4
263,Guantes Modelo 373,Guantes,Scott,1332.28,20,1065.82,25,Guantes de alta calidad marca Scott. Ideal para ciclistas exigentes.,1
264,Cambio Modelo 267,Cambio,Trek,1450.2,15,1232.67,5,Cambio de alta calidad marca Trek. Ideal para ciclistas exigentes.,2
265,Electrica Modelo 749,Electrica,RockShox,2933.45,10,2640.11,9,Electrica de alta calidad marca RockShox. Ideal para ciclistas exigentes.,4
266,Casco Modelo 114,Casco,Specialized,995.3,15,846.0,48,Casco de alta calidad marca Specialized. Ideal para ciclistas exigentes.,3
267,Candado Modelo 384,Candado,Giant,171.93,10,154.74,44,Candado de alta calidad marca Giant. Ideal para ciclistas exigentes.,3
268,Cadena Modelo 313,Cadena,Trek,457.25,10,411.53,35,Cadena de alta calidad marca Trek. Ideal para ciclistas exigentes.,2
269,Paseo Modelo 515,Paseo,RockShox,2775.12,15,2358.85,9,Paseo de alta calidad marca RockShox. Ideal para ciclistas exigentes.,2
270,Luz Modelo 995,Luz,RockShox,1578.31,0,1578.31,9,Luz de alta calidad marca RockShox. Ideal para ciclistas exigentes.,2
271,Cambio Modelo 337,Cambio,Trek,2419.21,15,2056.33,45,Cambio de alta calidad marca Trek. Ideal para ciclistas exigentes.,1
272,Timbre Modelo 968,Timbre,Bontrager,706.06,0,706.06,1,Timbre de alta calidad marca Bontrager. Ideal para ciclistas exigentes.,4
273,Frenos Modelo 377,Frenos,Specialized,1147.06,20,917.65,23,Frenos de alta calidad marca Specialized. Ideal para ciclistas exigentes.,2
274,Casco Modelo 564,Casco,Specialized,184.69,10,166.22,8,Casco de alta calidad marca Specialized. Ideal para ciclistas exigentes.,1
275,Cadena Modelo 758,Cadena,Trek,556.66,15,473.16,29,Cadena de alta calidad marca Trek. Ideal para ciclistas exigentes.,2
276,Timbre Modelo 218,Timbre,Shimano,939.14,0,939.14,50,Timbre de alta calidad marca Shimano. Ideal para ciclistas exigentes.,3
277,Carretera Modelo 785,Carretera,Specialized,452.16,0,452.16,48,Carretera de alta calidad marca Specialized. Ideal para ciclistas exigentes.,1
278,Casco Modelo 646,Casco,Trek,1753.92,0,1753.92,34,Casco de alta calidad marca Trek. Ideal para ciclistas exigentes.,2
279,Carretera Modelo 564,Carretera,Bontrager,2044.62,20,1635.7,36,Carretera de alta calidad marca Bontrager. Ideal para ciclistas exigentes.,1
280,Carretera Modelo 201,Carretera,Specialized,685.39,20,548.31,19,Carretera de alta calidad marca Specialized. Ideal para ciclistas exigentes.,4
281,Frenos Modelo 227,Frenos,Specialized,2363.45,15,2008.93,33,Frenos de alta calidad marca Specialized. Ideal para ciclistas exigentes.,1
282,Neumatico Modelo 569,Neumatico,SRAM,2424.81,10,2182.33,8,Neumatico de alta calidad marca SRAM. Ideal para ciclistas exigentes.,1
283,Paseo Modelo 413,Paseo,SRAM,646.5,0,646.5,21,Paseo de alta calidad marca SRAM. Ideal para ciclistas exigentes.,4
284,Cassette Modelo 553,Cassette,SRAM,2252.0,15,1914.2,13,Cassette de alta calidad marca SRAM. Ideal para ciclistas exigentes.,4
285,Carretera Modelo 181,Carretera,Giant,1249.13,15,1061.76,25,Carretera de alta calidad marca Giant. Ideal para ciclistas exigentes.,3
